id,text,example_very_unclear,neutral,positive recognition,anger,sadness,anxiety,regret,happiness,discomfort,affection,curiosity,surprise
ekht0io,"You've been so thoughtful and caring, thank you.",FALSE,0,0,0,0,0,0,0,0,1,0,0
ev8lb6c,This place feels unfamiliar and unsettling.,FALSE,0,0,0,0,0,0,0,1,0,0,0
en5qrgp,What lies ahead keeps me intrigued and excited.,FALSE,0,0,0,0,0,0,0,0,0,1,0
eppdqaz,Every moment feels tense and nerve-wracking.,FALSE,0,0,0,0,1,0,0,0,0,0,0
e28uagf,Life continues without anything notable happening.,FALSE,1,0,0,0,0,0,0,0,0,0,0
e1yu6wg,My heart feels heavy thinking about this.,FALSE,0,0,0,1,0,0,0,0,0,0,0
e2ak0wb,Your effort has left a remarkable impact.,FALSE,0,1,0,0,0,0,0,0,0,0,0
e8j171e,I look back and wish I could change this.,FALSE,0,0,0,0,0,1,0,0,0,0,0
eclaglz,This moment is filled with joy and laughter!,FALSE,0,0,0,0,0,0,1,0,0,0,0
eoo7f5p,"Wow, I never anticipated this to happen!",FALSE,0,0,0,0,0,0,0,0,0,0,1
eucluh9,This is infuriating beyond what I can handle!,FALSE,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
